HD6268 (Flux) (Lin          npts=38100
      2.293289E+03        6.103116E-02
      2.293307E+03        6.103104E-02
      2.293326E+03        6.105928E-02
      2.293345E+03        6.109586E-02
      2.293363E+03        6.111955E-02
      2.293382E+03        6.111967E-02
      2.293401E+03        6.111157E-02
      2.293419E+03        6.115336E-02
      2.293438E+03        6.123664E-02
      2.293457E+03        6.128124E-02
      2.293476E+03        6.125977E-02
      2.293494E+03        6.122023E-02
      2.293513E+03        6.120537E-02
      2.293532E+03        6.118803E-02
      2.29355E+03        6.113459E-02
      2.293569E+03        6.106869E-02
      2.293588E+03          6.1023E-02
      2.293606E+03        6.100869E-02
      2.293625E+03        6.102567E-02
      2.293644E+03        6.105115E-02
      2.293663E+03        6.104901E-02
      2.293681E+03        6.102396E-02
      2.2937E+03         6.10125E-02
      2.293719E+03        6.103539E-02
      2.293737E+03        6.109416E-02
      2.293756E+03        6.115572E-02
      2.293775E+03        6.120809E-02
      2.293793E+03        6.126242E-02
      2.293812E+03        6.130955E-02
      2.293831E+03        6.136912E-02
      2.293849E+03        6.144724E-02
      2.293868E+03        6.151949E-02
      2.293887E+03        6.158416E-02
      2.293906E+03        6.165426E-02
      2.293924E+03         6.17405E-02
      2.293943E+03        6.185531E-02
      2.293962E+03        6.195463E-02
      2.29398E+03        6.198116E-02
      2.293999E+03         6.19719E-02
      2.294018E+03        6.197839E-02
      2.294036E+03        6.201727E-02
      2.294055E+03        6.206642E-02
      2.294074E+03        6.208006E-02
      2.294093E+03         6.20625E-02
      2.294111E+03        6.205231E-02
      2.29413E+03        6.207562E-02
      2.294149E+03        6.211612E-02
      2.294167E+03        6.213218E-02
      2.294186E+03        6.212244E-02
      2.294205E+03        6.211203E-02
      2.294223E+03        6.211662E-02
      2.294242E+03        6.212556E-02
      2.294261E+03        6.212639E-02
      2.294279E+03        6.212922E-02
      2.294298E+03         6.21406E-02
      2.294317E+03         6.21627E-02
      2.294336E+03        6.219095E-02
      2.294354E+03        6.220657E-02
      2.294373E+03        6.222592E-02
      2.294392E+03        6.229286E-02
      2.29441E+03        6.237391E-02
      2.294429E+03        6.242993E-02
      2.294448E+03        6.246781E-02
      2.294466E+03        6.247633E-02
      2.294485E+03        6.247301E-02
      2.294504E+03        6.248136E-02
      2.294523E+03        6.251375E-02
      2.294541E+03        6.256101E-02
      2.29456E+03        6.261415E-02
      2.294579E+03        6.265444E-02
      2.294597E+03        6.269014E-02
      2.294616E+03        6.271991E-02
      2.294635E+03         6.27363E-02
      2.294653E+03        6.273715E-02
      2.294672E+03        6.271565E-02
      2.294691E+03        6.266385E-02
      2.294709E+03        6.261216E-02
      2.294728E+03        6.258345E-02
