#Raw data of wavelength and flux data for the star: HD6268
        Wavelength          Flux 
      2.2885E+03        1.038641E-14
      2.288518E+03        6.911123E-15
      2.288537E+03        3.783949E-15
      2.288556E+03        3.332863E-15
      2.288574E+03        4.391439E-15
      2.288593E+03        6.599389E-15
      2.288612E+03        6.465534E-15
      2.288631E+03        3.146995E-15
      2.288649E+03        1.652246E-15
      2.288668E+03        2.047995E-15
      2.288687E+03        2.771142E-15
      2.288705E+03        6.369926E-15
      2.288724E+03        8.399883E-15
      2.288743E+03         6.14007E-15
      2.288762E+03        5.059364E-15
      2.28878E+03        6.401047E-15
      2.288799E+03        7.323943E-15
      2.288818E+03        7.160335E-15
      2.288836E+03        7.280672E-15
      2.288855E+03        8.321704E-15
      2.288874E+03         9.11823E-15
      2.288893E+03        9.278933E-15
      2.288911E+03        9.581784E-15
      2.28893E+03        1.047587E-14
      2.288949E+03        1.158651E-14
      2.288967E+03        1.102923E-14
      2.288986E+03        9.677263E-15
      2.289005E+03        8.635124E-15
      2.289024E+03        8.120349E-15
      2.289042E+03        1.016103E-14
      2.289061E+03        1.165583E-14
      2.28908E+03        9.463496E-15
      2.289099E+03         7.58425E-15
      2.289117E+03        8.003983E-15
      2.289136E+03        9.852657E-15
      2.289155E+03        1.600386E-14
      2.289173E+03        1.985034E-14
      2.289192E+03        1.651557E-14
      2.289211E+03        1.426003E-14
      2.28923E+03        1.285234E-14
      2.289248E+03        1.214449E-14
      2.289267E+03        1.349129E-14
      2.289286E+03        1.261784E-14
      2.289304E+03        7.926977E-15
      2.289323E+03        5.250538E-15
      2.289342E+03        6.798307E-15
      2.289361E+03        8.082842E-15
      2.289379E+03        8.957965E-15
      2.289398E+03        1.054114E-14
      2.289417E+03        1.336754E-14
      2.289435E+03         1.39341E-14
      2.289454E+03        1.189866E-14
      2.289473E+03        1.093167E-14
      2.289492E+03        1.005863E-14
      2.28951E+03         9.23009E-15
      2.289529E+03        9.062328E-15
      2.289548E+03        9.498414E-15
      2.289566E+03        1.075853E-14
      2.289585E+03        1.138563E-14
      2.289604E+03          1.0511E-14
      2.289623E+03        1.041081E-14
      2.289641E+03        1.302097E-14
      2.28966E+03        1.448517E-14
      2.289679E+03        1.268795E-14
      2.289697E+03        1.134316E-14
      2.289716E+03        1.135297E-14
      2.289735E+03        1.150295E-14
      2.289754E+03        1.358284E-14
      2.289772E+03        1.597257E-14
      2.289791E+03        1.486077E-14
      2.28981E+03        1.318321E-14
      2.289828E+03        1.264659E-14
      2.289847E+03        1.176387E-14
      2.289866E+03        1.065991E-14
      2.289885E+03        1.046237E-14
      2.289903E+03        9.032452E-15
      2.289922E+03         6.51212E-15
      2.289941E+03        5.070742E-15
      2.289959E+03        4.701033E-15
      2.289978E+03        6.509458E-15
      2.289997E+03        7.506234E-15
      2.290016E+03        5.363054E-15
      2.290034E+03        3.608994E-15
      2.290053E+03        3.966743E-15
      2.290072E+03        4.678376E-15
      2.29009E+03        5.237233E-15
      2.290109E+03        5.567365E-15
      2.290128E+03        5.269667E-15
      2.290146E+03        5.418519E-15
      2.290165E+03        8.885253E-15
      2.290184E+03        1.188233E-14
      2.290203E+03        1.325161E-14
      2.290221E+03        1.445228E-14
      2.29024E+03        1.154427E-14
      2.290259E+03        8.867223E-15
      2.290277E+03        1.006718E-14
      2.290296E+03        1.034841E-14
      2.290315E+03        8.963817E-15
      2.290334E+03        8.847301E-15
      2.290352E+03         7.81239E-15
      2.290371E+03        6.318245E-15
      2.29039E+03        7.970893E-15
      2.290408E+03        1.039432E-14
      2.290427E+03        1.024058E-14
      2.290446E+03        8.422309E-15
      2.290465E+03        8.806622E-15
      2.290483E+03        1.033947E-14
      2.290502E+03        8.265379E-15
      2.290521E+03        5.965859E-15
      2.290539E+03        5.932054E-15
      2.290558E+03        5.619876E-15
      2.290577E+03        6.198173E-15
      2.290596E+03         6.56173E-15
      2.290614E+03        5.212668E-15
      2.290633E+03        5.391147E-15
      2.290652E+03        1.009577E-14
      2.29067E+03        1.318022E-14
      2.290689E+03        1.016981E-14
      2.290708E+03        8.883985E-15
      2.290727E+03        1.291996E-14
      2.290745E+03        1.480043E-14
      2.290764E+03        1.206137E-14
      2.290783E+03        1.031397E-14
      2.290801E+03        9.024524E-15
      2.29082E+03        8.566795E-15
      2.290839E+03        1.174469E-14
      2.290857E+03        1.349237E-14
      2.290876E+03        1.151731E-14
      2.290895E+03        9.157043E-15
      2.290914E+03        5.803659E-15
      2.290932E+03        3.708205E-15
      2.290951E+03        3.690265E-15
      2.29097E+03        3.749545E-15
      2.290988E+03        4.669372E-15
      2.291007E+03        5.078771E-15
      2.291026E+03        4.846953E-15
      2.291045E+03        3.926391E-15
      2.291063E+03        2.792563E-15
      2.291082E+03        3.095917E-15
      2.291101E+03        3.399801E-15
      2.291119E+03        3.797478E-15
      2.291138E+03        7.483959E-15
      2.291157E+03        1.080866E-14
      2.291175E+03        1.110972E-14
      2.291194E+03        1.078467E-14
      2.291213E+03        8.180775E-15
      2.291232E+03        6.379746E-15
      2.29125E+03        9.805231E-15
      2.291269E+03        1.186615E-14
      2.291288E+03        9.363392E-15
      2.291306E+03        7.560827E-15
      2.291325E+03        8.764577E-15
      2.291344E+03        1.043653E-14
      2.291363E+03        1.096368E-14
      2.291381E+03        1.144482E-14
      2.2914E+03        9.839079E-15
      2.291419E+03        7.837745E-15
      2.291437E+03        7.509673E-15
      2.291456E+03        7.183431E-15
      2.291475E+03        7.433302E-15
      2.291493E+03        7.831422E-15
      2.291512E+03        7.861669E-15
      2.291531E+03        7.835132E-15
      2.29155E+03        6.526039E-15
      2.291568E+03        5.730756E-15
      2.291587E+03        7.329203E-15
      2.291606E+03        8.102112E-15
      2.291624E+03        9.195086E-15
      2.291643E+03        1.024792E-14
      2.291662E+03         8.21512E-15
      2.291681E+03        6.565307E-15
      2.291699E+03        4.879131E-15
      2.291718E+03        3.307115E-15
      2.291737E+03         4.63153E-15
      2.291755E+03        6.096082E-15
      2.291774E+03        6.118099E-15
      2.291793E+03        5.856701E-15
      2.291811E+03         6.52493E-15
      2.29183E+03        7.383176E-15
